sample_id	group	batch	input_dir	bam_path	bam_style	targets_bed	coding_bed	reference_fasta	target_bases_total	coding_bases_total	cov_thr_x1	cov_thr_x2	cov_thr_x3	min_mapq	exclude_flags_common_hex	exclude_flags_unique_hex	reads_total	reads_mapped	reads_primary_mapped	reads_duplicate	reads_qc_fail	on_target_reads	on_target_fraction	on_target_percent	target_mean_depth	target_median_depth	target_p20_depth	target_fold80	pct_bases_ge_x1	pct_bases_ge_x2	pct_bases_ge_x3	bases_covered_ge_x1	bases_covered_ge_x2	bases_covered_ge_x3	coding_mean_depth	coding_median_depth	coding_p20_depth	coding_fold80	coding_pct_bases_ge_x1	coding_pct_bases_ge_x2	coding_pct_bases_ge_x3	coding_bases_covered_ge_x1	coding_bases_covered_ge_x2	coding_bases_covered_ge_x3	picard_metrics_path	pct_duplication	estimated_library_size	bam_mtime_iso	bam_size_bytes	pipeline_run_id
CJD13	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD13.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2499568	2430766	2332310	1352316	0	1968890	0.844180	84.418	4485.396	4979.000	3791.000	1.183	100.000	99.424	97.107	21705	21580	21077	5266.803	5198.500	4876.000	1.080	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:53:19	220648068	2026-02-08_132228
CJD22	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD22.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3019124	2848016	2656868	1742491	0	1956933	0.736556	73.656	2411.701	1885.000	1184.000	2.037	100.000	99.244	74.582	21705	21541	16188	6299.148	6394.000	5990.000	1.052	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:53:09	277094452	2026-02-08_132228
CJD23	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD23.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2535915	2397009	2256474	1059612	0	1661883	0.736496	73.650	4551.893	4168.000	2253.000	2.020	99.917	99.383	94.863	21687	21571	20590	9502.841	9210.000	8676.000	1.095	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:25	248019062	2026-02-08_132228
CJD25	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD25.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3043424	2808885	2513891	1399512	0	1532624	0.609662	60.966	2363.176	1340.000	756.000	3.126	99.995	94.522	54.817	21704	20516	11898	12492.433	12566.500	9277.000	1.347	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:31	305623281	2026-02-08_132228
CJD27	CJD	2021-10-19_first_CJD_seq	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD27.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	5813064	5578329	5251449	3663784	0	4042256	0.769741	76.974	4876.796	4525.000	3396.000	1.436	100.000	99.770	99.111	21705	21655	21512	8706.832	8680.500	8454.000	1.030	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:29	506558299	2026-02-08_132228
CJD3	CJD	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD3.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2736450	2625523	2418307	1040713	0	1700732	0.703274	70.327	5218.566	5830.000	3855.000	1.354	99.959	98.480	95.692	21696	21375	20770	6853.965	6795.000	5627.000	1.218	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:24	246523761	2026-02-08_132228
CJD4	CJD	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD4.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2738094	2624029	2367843	1209417	0	1517342	0.640812	64.081	3142.463	3514.000	2371.000	1.325	99.111	96.342	90.693	21512	20911	19685	4131.566	4229.000	3412.000	1.211	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:53:25	262303294	2026-02-08_132228
CJD7	CJD	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD7.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1384421	1303111	1201860	329423	0	790914	0.658075	65.807	3303.609	3823.000	1779.000	1.857	99.765	96.614	89.836	21654	20970	19499	4417.891	4376.000	3853.000	1.147	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:53:22	143616355	2026-02-08_132228
CJD11	CJD	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD11.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2072586	1963242	1799120	686135	0	1210382	0.672763	67.276	3921.345	4472.000	2726.000	1.438	100.000	99.161	94.596	21705	21523	20532	5119.448	5099.500	4498.000	1.138	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:29	201867105	2026-02-08_132228
Ctrl1	control	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/Ctrl1.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3292002	2871577	2570807	901644	0	1143055	0.444629	44.463	2664.320	1780.000	1212.000	2.198	100.000	99.000	75.886	21705	21488	16471	8907.849	8884.500	8122.000	1.097	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:01	381186033	2026-02-08_132228
Ctrl2	control	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/Ctrl2.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1659866	1410938	1295808	143694	0	293097	0.226189	22.619	1234.004	1038.000	757.000	1.630	99.267	89.965	41.161	21546	19527	8934	2656.164	2586.500	2270.000	1.170	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:53:57	230902371	2026-02-08_132228
Ctrl3	control	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/Ctrl3.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3137302	2930988	2701096	1400349	0	1810213	0.670177	67.018	3551.144	3923.000	2984.000	1.190	100.000	99.479	96.747	21705	21592	20999	4380.438	4295.000	4077.000	1.074	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:21	302310087	2026-02-08_132228
Ctrl5	control	2023-06-18_CJD_8_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/Ctrl5.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1580259	1460960	1326561	470015	0	832406	0.627492	62.749	2710.947	2759.000	1908.000	1.421	99.935	99.148	93.209	21691	21520	20231	5068.213	5098.500	4772.000	1.062	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:12	167835663	2026-02-08_132228
CJD5	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD5.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	3316246	2649371	2418541	19295	0	7955	0.003289	0.329	53.217	35.000	17.000	3.130	12.301	0.000	0.000	2670	0	0	264.160	263.000	229.000	1.154	100.000	0.000	0.000	762	0	0	NA	NA	NA	2025-11-12T11:54:33	501224564	2026-02-08_132228
CJD8	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD8.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	663086	524454	479340	1437	0	16156	0.033705	3.370	108.388	75.000	40.000	2.710	33.499	2.110	0.000	7271	458	0	532.505	537.500	461.000	1.155	100.000	58.661	0.000	762	447	0	NA	NA	NA	2025-11-12T11:53:10	102480256	2026-02-08_132228
CJD12	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD12.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1042462	808673	764317	33470	0	165948	0.217119	21.712	948.432	1068.000	606.000	1.565	96.697	84.322	20.207	20988	18302	4386	1203.686	1145.500	1036.000	1.162	100.000	100.000	40.682	762	762	310	NA	NA	NA	2025-11-12T11:53:13	151622071	2026-02-08_132228
CJD14	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD14.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2903941	2183466	2028669	7537	0	9031	0.004452	0.445	60.911	68.000	22.000	2.769	8.325	0.000	0.000	1807	0	0	100.213	97.000	75.000	1.336	48.688	0.000	0.000	371	0	0	NA	NA	NA	2025-11-12T11:54:09	444669475	2026-02-08_132228
CJD15	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD15.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2445271	1882733	1757196	6759	0	12225	0.006957	0.696	81.864	93.000	32.000	2.558	42.999	0.000	0.000	9333	0	0	156.627	151.000	133.000	1.178	100.000	0.000	0.000	762	0	0	NA	NA	NA	2025-11-12T11:54:21	374499540	2026-02-08_132228
CJD18	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD18.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2690744	2097521	1943421	7072	0	12136	0.006245	0.624	82.273	87.000	27.000	3.047	40.166	0.000	0.000	8718	0	0	175.235	172.500	113.000	1.551	96.457	0.000	0.000	735	0	0	NA	NA	NA	2025-11-12T11:53:55	415936698	2026-02-08_132228
CJD19	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD19.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1435001	1125212	1030223	8681	0	59437	0.057693	5.769	378.248	339.000	159.000	2.379	87.791	24.110	1.050	19055	5233	228	1113.755	1094.500	909.000	1.225	100.000	100.000	29.921	762	762	228	NA	NA	NA	2025-11-12T11:53:33	217529367	2026-02-08_132228
CJD21	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD21.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	918052	877073	847271	290979	0	678263	0.800527	80.053	2687.366	2986.000	1757.000	1.530	99.728	95.969	87.418	21646	20830	18974	3904.963	3799.000	3467.000	1.126	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:22	93205419	2026-02-08_132228
CJD24	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD24.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	2512195	2015280	1822237	16559	0	9607	0.005272	0.527	63.681	37.000	20.000	3.184	14.771	1.184	0.000	3206	257	0	433.937	418.000	331.000	1.311	100.000	33.727	0.000	762	257	0	NA	NA	NA	2025-11-12T11:53:47	382000642	2026-02-08_132228
CJD26	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD26.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	890410	693696	649606	5537	0	77062	0.118629	11.863	505.951	557.000	277.000	1.827	90.150	59.489	0.000	19567	12912	0	698.895	674.500	560.000	1.248	100.000	94.226	0.000	762	718	0	NA	NA	NA	2025-11-12T11:53:28	134206769	2026-02-08_132228
CJD28	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD28.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1133453	883426	816675	3268	0	33357	0.040845	4.084	221.522	184.000	91.000	2.434	77.858	9.795	0.000	16899	2126	0	675.844	645.000	526.000	1.285	100.000	85.564	0.000	762	652	0	NA	NA	NA	2025-11-12T11:54:10	174873319	2026-02-08_132228
CJD29	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD29.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1130699	866150	795483	7689	0	51236	0.064409	6.441	322.126	199.000	105.000	3.068	81.963	16.116	4.400	17790	3498	955	1468.260	1483.000	1374.000	1.069	100.000	100.000	100.000	762	762	762	NA	NA	NA	2025-11-12T11:54:30	171027198	2026-02-08_132228
CJD30	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD30.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1742598	1301235	1214681	6600	0	40660	0.033474	3.347	264.238	222.000	132.000	2.002	85.722	10.970	0.000	18606	2381	0	839.730	836.000	759.000	1.106	100.000	100.000	0.000	762	762	0	NA	NA	NA	2025-11-12T11:54:11	267817024	2026-02-08_132228
CJD31	CJD	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/CJD31.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	748384	597905	550327	1261	0	8606	0.015638	1.564	58.312	48.000	23.000	2.535	12.969	0.000	0.000	2815	0	0	228.558	244.000	165.000	1.385	100.000	0.000	0.000	762	0	0	NA	NA	NA	2025-11-12T11:53:04	116627663	2026-02-08_132228
Ctrl4	control	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/Ctrl4.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1301950	1057742	952052	6585	0	27123	0.028489	2.849	177.533	132.000	76.000	2.336	68.109	5.828	0.000	14783	1265	0	666.491	669.500	551.000	1.210	100.000	90.157	0.000	762	687	0	NA	NA	NA	2025-11-12T11:54:31	201806964	2026-02-08_132228
Ctrl7	control	2023-06-18_CJD_16_samples	/add/seq_data/final_seq	/add/seq_data/final_seq/Ctrl7.bam	short	/home/mcarta/databases/targets.bed	/home/mcarta/databases/prnp_coding.bed	/home/mcarta/databases/chr2_chr4_chr20.fasta	21705	762	100	500	1250	20	0xB04	0xF04	1208571	971159	882024	5365	0	33401	0.037869	3.787	219.291	178.000	90.000	2.437	78.622	8.528	0.000	17065	1851	0	652.496	636.500	547.000	1.193	100.000	95.932	0.000	762	731	0	NA	NA	NA	2025-11-12T11:54:13	186487740	2026-02-08_132228
